290039,65010,67100,57603,21205,5220,5250,4388,0,0,25
5,0,0,0,0,0,0,0,0,0,25
453515,188288,88674,47538,30234,15473,7006,7181,0,0,25
12394,16439,7205,532,4996,3448,863,577,0,0,0
1723684,36054,58331,8778,25205,15998,6336,4664,0,0,0
5637,15091,21259,3809,4027,2239,1406,397,0,0,0
566141,71927,14978,3643,4289,11733,2672,3939,30,47,0
1169140,31739,12890,2330,19539,7276,6294,3943,24,60,0
872,4380,8185,2575,4437,3070,528,510,35,77,0
16739,23845,34514,10693,25010,9574,2087,5201,43,84,0
34507,4768,2134,1337,1233,1005,888,443,53,83,0
1053,3755,5306,3650,3010,2884,615,562,69,90,0
2462,4319,2058,4600,3288,2033,616,382,66,90,0
145304,6403,38856,19787,21349,18318,2055,3321,75,100,0
18972,8751,2269,2985,1431,2747,1166,895,70,100,0
6387,3204,11102,3271,4879,2401,437,452,78,100,0
4793,2922,4797,1898,3620,1506,1569,846,80,97,0
379415,46975,21300,5840,23305,15924,2159,5816,61,93,0
4075,3530,5833,4425,4295,1728,406,525,75,84,0
37998,26184,12476,17649,18135,20122,4838,3203,60,97,0
347205,99599,9230,9377,18055,8231,2159,2330,37,83,0
6264,5026,2918,921,2675,2062,881,424,38,84,0
395474,30799,3273,6218,3609,3238,634,399,17,75,0
388172,44411,28033,6410,2902,2564,3205,1892,24,34,0
6178,5742,6469,1229,7351,6546,769,296,38,60,0
476070,23553,3823,13614,9977,5506,2944,1268,40,44,0
1868,5917,4579,3052,3403,3366,788,643,51,60,0
4397,3308,7975,7529,1949,3073,971,204,64,84,0
207210,68782,16942,10819,4757,3798,783,414,61,47,0
8833,2537,3299,1212,3170,1656,232,437,64,54,0
2710,2025,7285,4644,4953,2918,420,669,75,53,0
1574,8287,4768,2433,1945,2402,890,358,60,51,0
6447,12216,8407,2049,4279,3409,1004,595,64,70,0
88133,34034,6279,1981,1293,4105,672,636,53,60,0
10965,14829,1881,4279,1635,4464,1359,698,35,60,0
36747,23877,6939,689,4307,2746,711,615,21,50,0
7068,12808,9014,3244,5040,3703,586,696,21,50,0
57961,19714,2055,2442,3219,3904,1147,658,16,57,0
7385,8329,16765,5344,1979,2959,1131,399,40,47,0
41638,18855,2227,5886,7206,8173,643,603,40,66,0
174352,12077,5202,1985,4444,1874,961,384,37,60,0
397166,55172,16872,25242,18747,10996,5331,1574,51,53,0
2714,5457,9135,4630,1043,1962,1193,630,51,54,0
8556,6207,9434,2111,4021,4106,659,621,67,51,0
1935,6774,2028,6623,5813,3184,1000,875,70,61,0
22160,19935,4226,3147,628,2928,305,852,66,61,0
134206,24291,23906,13151,19426,14130,4183,917,54,74,0
8223,6352,12062,2393,1549,4239,893,384,60,70,0
387182,51142,8867,9622,41487,9040,2944,4228,47,64,0
65002,9388,414,334,595,998,240,111,30,64,0
3745,4798,4958,7530,3910,2698,779,753,38,56,0
12486,6196,5075,6721,7915,4827,853,479,29,61,0
12679,13075,1060,2296,3389,3525,1409,897,34,67,0
4264,6174,1301,5127,2571,2841,1035,864,56,80,0
81067,31245,4319,5005,1807,659,928,692,41,56,0
1221750,187868,19925,6244,9761,14176,2388,3000,23,40,0
451431,17684,7279,5799,7688,6998,2106,3391,30,44,0
412917,48333,25114,8602,33444,10672,1895,4354,27,38,0
173092,17219,1055,4963,4067,1003,753,662,27,50,0
15862,10734,6778,4397,6134,5056,484,433,43,66,0
22908,16727,1300,1615,5467,1718,1042,261,29,56,0
97971,4892,1635,12842,3515,2039,582,729,44,53,0
29376,24378,1201,2822,4797,4111,819,503,35,69,0
108927,11774,5250,2730,1077,2617,317,1022,35,64,0
3877,6785,8664,4896,4160,2915,696,316,60,69,0
54751,9931,5533,8100,6962,1313,803,243,51,63,0
4555,3683,3122,1975,3461,1675,720,727,69,64,0
393226,18845,26180,11053,27028,16054,3316,5013,70,75,0
8028,4065,3751,3073,1624,2651,463,265,69,81,0
2950,5898,1808,652,5052,3497,1376,1255,51,100,0
96693,4723,22006,5933,3983,6935,595,451,64,100,0
517702,22769,6002,5776,8756,9924,3569,1857,54,100,0
347971,32994,295,2659,3436,3392,1065,506,27,93,0
2528,5163,3281,2736,3168,3553,1040,288,41,91,0
576225,71175,16174,4075,3411,6890,4388,1334,20,78,0
884420,236351,24966,9728,18198,10450,2664,1399,10,53,0
5838,5049,17020,4074,4235,1284,903,415,48,44,0
2172,6873,906,4453,3994,2256,1813,321,47,38,0
5004,8416,29962,3020,10131,3738,520,412,67,41,0
363468,87939,4948,9361,18538,5103,2180,1570,67,44,0
4721,12857,11598,14635,4462,5194,1468,455,63,56,0
7628,4550,3337,1134,2775,2297,1314,1075,63,60,0
58532,39208,22604,29965,27190,10413,4926,2298,51,63,0
371250,54682,30323,6171,7451,7660,2261,4129,67,69,0
1943,9500,8831,2704,3107,1986,520,440,63,64,0
