1582898,1441208,350079,341054,345426,90660,61163,18126,0,0,25
75028,91253,40739,8209,9225,4075,2101,1708,0,0,25
1006071,287065,76287,118256,151098,69510,13139,4936,0,0,26
825837,39522,9817,10529,25123,19049,5562,5348,0,0,0
529016,15790,10166,9812,4567,3218,1167,591,0,0,26
1167353,44614,29600,26521,22837,20842,8225,2812,0,0,0
1182188,322722,65418,21231,69183,42230,5806,7697,0,0,26
833604,32285,9652,13733,4446,4909,1771,1122,0,0,26
1865785,48750,28949,3568,22656,20861,2868,1811,0,0,0
687626,71545,33032,38916,29888,16863,5914,2028,50,30,0
2204771,303896,16718,14688,27406,22698,18369,7149,30,13,0
108238,6347,3479,2477,3346,1365,689,413,43,3,0
282369,62384,43538,6770,9696,5071,2362,1753,56,1,0
1156432,296084,65403,44391,36410,22136,7561,6470,48,1,0
1053699,11780,5147,5892,7328,5461,890,1087,75,7,0
166229,140883,18990,4175,17459,12010,9093,4001,51,3,0
368040,12758,31911,20895,42602,24088,8396,5332,51,38,0
997904,167797,20552,12915,10188,10965,2994,1603,43,38,0
1342941,82861,14691,22060,11104,12444,7773,1780,38,24,0
348001,35945,4118,8690,10658,16505,2283,1039,38,24,25
310457,16245,4358,1903,1095,618,222,141,38,24,51
331634,118685,52574,20523,35507,47415,17920,4562,38,24,51
1223233,54566,35625,19251,83084,62676,19796,7666,38,24,25
1915009,181279,159263,140835,262821,182445,34892,25787,38,24,26
2863027,145964,10196,8447,69658,25796,16105,4340,38,24,51
626534,26420,11308,18942,17271,11184,3960,1606,38,24,26
1415080,9032,909,2403,14788,5616,1823,711,38,24,26
3269478,139848,21631,14527,18389,8980,3246,2154,38,24,26
141958,67017,35525,7216,12548,3059,3220,1089,60,17,0
113028,12270,2789,3193,6072,2225,1177,2501,44,4,0
169362,50300,13602,6415,6752,2590,2784,2151,54,7,0
48355,23327,39205,11790,5184,4705,1801,1118,74,4,0
27360,48106,16658,18730,15558,7822,13171,1962,70,23,0
344958,93597,9394,24791,6253,10555,6700,4639,74,16,0
106612,26809,2710,1481,2968,2936,1326,1253,57,29,0
1086857,50740,14372,18098,6716,17440,3213,2786,40,47,0
36726,13947,725,1361,1407,845,494,147,20,38,0
829027,229741,6823,112255,32456,29464,8475,3669,23,38,0
39148,24101,253,770,1347,1854,479,245,17,37,0
741358,14545,4404,5752,18449,7462,1983,1249,16,41,0
1858542,16759,2683,2910,10378,4318,1731,973,16,41,25
1134971,202879,184423,31827,32628,101755,21723,8265,43,63,0
742005,14559,8946,6951,7448,4591,3671,2344,53,69,0
64237,1535,3656,484,4041,1721,522,576,84,90,0
409639,56348,16088,14198,5546,10648,3647,3147,90,78,0
358867,176684,9103,13151,8917,7700,5917,3352,69,51,0
674884,16716,24716,7027,26188,8171,6065,2384,69,54,0
71277,56970,6398,4655,3508,5243,4766,906,54,35,0
99776,18943,6762,1386,1021,3967,1974,1066,51,37,0
1038604,218418,130783,78539,119367,27334,38672,17229,69,43,0
592296,59449,29530,8454,17595,7363,5476,2457,66,34,0
102986,40624,592,3178,2499,1726,1501,522,60,23,0
980083,65710,4620,6057,9488,10741,6131,3311,48,23,0
837257,198088,29730,23592,17176,14551,5644,1737,38,21,0
202292,37953,27162,4669,39400,10887,4877,3588,37,29,0
623028,119165,21553,15567,43430,13348,8187,2303,48,41,0
1221172,147801,34789,19369,19689,17992,6032,4287,57,35,0
922193,271907,36618,29907,55417,27969,41220,5578,56,40,0
30747,20962,4495,2960,5530,10511,3378,2041,48,53,0
885788,19544,17020,13197,5066,9428,1994,1052,63,64,0
439669,117169,81678,37130,65244,45621,39188,10902,69,75,0
251125,37177,12150,7357,8759,14691,5223,3240,75,93,0
