895102,185248,17794,20123,168436,76962,54629,15287,0,0,51
1403183,90345,217324,113743,134189,99335,83626,86117,0,0,51
169715,324569,95139,44219,9997,45457,38418,26732,0,0,51
1167618,799045,30884,111290,170323,23951,4900,5041,0,0,51
475785,470542,46052,211339,166439,104994,50602,55507,0,0,51
879229,17246,4465,4038,2037,973,50,92,0,0,25
4775,4076,2261,1388,565,1266,990,512,0,0,25
557867,349803,451364,205054,65712,307495,234948,173783,0,0,51
720956,617161,250270,470121,490040,242192,133508,42946,0,0,51
114801,113265,74379,26807,35375,26876,8613,6234,0,0,25
638103,54941,16245,10803,11100,3544,1552,2119,0,0,0
217234,23144,7663,12268,6028,3016,1012,1303,0,0,0
493371,100706,130813,90985,116392,113351,34228,12656,0,0,25
1034800,216820,10660,11234,28444,19850,5379,7110,0,0,51
168372,29502,4294,14348,21077,32722,37690,62908,0,0,51
3015984,199627,37474,25897,34098,17644,5688,2942,0,0,25
2886104,124125,57051,30457,46433,14674,8030,3686,0,0,0
417723,16613,8850,9067,4502,3978,1942,686,54,51,0
184027,5153,4263,3528,1776,2462,844,614,78,75,0
923906,264809,48198,26403,37803,53198,19777,10195,60,93,0
352002,29355,31533,8095,12990,6656,4803,2786,81,100,0
3308091,72620,47532,7992,14961,19541,7432,4491,69,100,0
1062866,179048,23481,51830,12325,11467,13126,5873,43,78,0
2084274,23037,11803,9142,23992,8339,3032,3599,57,83,0
1792326,158196,37368,88668,54376,42543,5717,2232,43,91,0
1463938,45194,9943,11683,3348,3779,1775,1054,38,70,0
38473,24046,9678,2380,1657,1121,635,452,40,64,0
192166,13481,4379,7298,22791,13641,3564,2412,40,64,51
2686869,660438,82869,111200,276117,63238,21253,15668,40,64,25
951596,156005,17138,78540,9874,5468,5408,2179,40,64,26
889684,98647,4726,16807,5046,6225,2504,1342,24,38,0
1037090,10433,12383,18209,37451,20691,1941,2954,23,43,0
680722,30284,18455,9860,4009,9974,1246,939,37,54,0
1077772,84809,14080,49217,11456,14924,4269,1777,48,69,0
509236,27558,23954,2479,9743,7468,5517,3566,78,78,0
449869,17840,5914,11177,2427,4963,392,682,93,60,0
788444,109345,3278,6835,12640,10119,1746,627,60,51,0
396645,23081,21048,13085,7991,7561,2633,590,60,51,25
627318,121767,40445,33638,5828,41328,19309,7916,60,51,25
1480882,1090955,226800,231761,324245,305992,47044,25974,60,51,25
890979,31839,2286,12939,9654,6737,3529,1482,60,51,51
1415083,646473,93986,19972,21949,35863,8194,6481,60,51,25
105969,15544,405,636,208,529,115,82,60,51,25
1094333,58514,4441,48490,15985,37146,8942,2143,60,51,25
649397,9237,3951,3427,1797,1370,326,152,60,51,51
839702,636108,18353,36388,43156,76534,38100,6180,30,53,0
730277,42489,32983,85425,41232,39801,9702,8783,30,53,26
715451,144494,18514,31129,11931,10745,2733,2392,24,41,0
1834060,89442,82311,29465,91982,19024,9674,14317,23,37,0
777009,80246,32316,17632,21338,8346,1800,753,54,34,0
810836,61603,16254,4244,7441,3133,1731,1235,77,17,0
20933,14579,1760,2355,3440,3232,766,466,70,34,0
137160,20526,11744,21949,7491,2458,534,430,80,21,0
602724,71417,6604,22525,26410,5006,2810,583,70,16,0
415013,149755,2353,21602,8048,8770,2830,1978,57,21,0
802345,32674,12942,17234,14070,5500,4198,2837,74,11,0
803127,36999,12496,11335,7453,2056,1424,641,60,10,0
871470,41481,4368,16455,8836,11125,2508,726,61,26,0
42915,23404,4644,3731,1586,1965,886,405,75,27,0
848141,190603,76384,37844,4801,14836,2826,1737,74,21,0
211731,29868,10810,21334,6204,2607,615,543,81,23,0
1656199,400739,277548,105880,147788,103405,30065,10182,90,20,0
1820973,469538,230343,77254,66708,42343,21143,6866,90,20,25
252550,119927,70938,55522,34044,40586,45098,69152,90,20,25
1531790,653804,157052,116533,124515,91060,16517,4151,90,20,25
2506393,781706,88543,11461,43114,68388,75227,17182,90,20,25
2426304,82446,46827,17703,17392,32227,4864,1844,90,20,51
660575,106921,28804,16661,15166,25679,13238,8585,90,20,26
630480,82096,18450,10455,11010,3949,3720,2660,90,20,25
4831,179,383,1134,706,208,326,52,90,20,25
222083,62010,36525,34504,10820,30938,6478,7341,100,38,0
738896,246259,7945,3739,7574,6137,3476,698,70,27,0
711386,25354,40735,7025,6718,14352,3797,3635,74,51,0
610917,50255,5582,6637,2875,2854,1935,1308,60,37,0
27985,18417,3254,1337,2296,2400,493,490,43,26,0
576320,71765,17669,33302,6834,14533,9144,13217,75,48,0
1742453,175535,5431,28819,7773,12219,4364,2362,53,30,0
176468,54071,8346,5975,10459,5948,6623,3534,53,40,0
160118,336714,31283,31428,7760,14756,4310,8680,53,24,0
622279,273769,53796,58717,16152,85545,9132,8489,44,34,0
2465496,162471,35378,82061,44540,24303,8518,9161,56,38,0
852884,21986,5964,4524,5205,9142,4053,2372,61,54,0
323205,22704,3612,7945,13967,4890,3688,2247,66,70,0
180263,32606,18463,9633,14981,12264,3861,3427,74,69,0
233314,76807,29194,5520,8034,12234,2803,3139,69,74,0
275701,11392,3472,2962,2706,1604,2576,887,74,57,0
430980,124088,11059,21899,17931,11064,10213,1491,69,48,0
2647828,191828,18675,42022,13099,7203,8143,3419,64,23,0
100869,2069,289,1025,1185,661,330,198,63,30,0
831626,20977,11371,26396,12490,5615,3531,2790,75,30,0
367273,75199,27533,61689,12468,13075,4456,5036,91,30,0
157068,25613,874,2048,1254,981,651,438,78,35,0
745418,53139,36600,29023,18754,8995,1850,2137,91,23,0
236227,82752,11672,44125,38875,13871,10010,2512,80,23,0
699128,12922,6399,17286,6136,8490,1889,1462,80,40,0
890657,9389,5680,5257,1333,1789,706,271,80,40,26
1317156,71938,11901,12374,27674,18280,7062,5259,87,61,0
795767,9011,4963,3284,6765,6754,1467,593,75,84,0
133001,58398,43927,40445,12230,6789,760,1207,88,75,0
451304,42779,16906,12536,7100,4206,2625,1647,83,56,0
249217,11033,3252,721,893,1864,730,360,88,51,0
1292902,76516,4250,47574,31115,24988,10566,4452,88,41,0
1092330,125333,38749,53697,12726,33165,9795,5920,80,57,0
413741,46431,49208,23453,26930,22346,5983,2687,80,57,51
90,11,10,12,1,2,2,1,80,57,25
1455766,38631,17640,4129,7937,5865,1418,1052,80,57,51
2112714,110711,18324,49384,19519,20229,5933,4360,77,64,0
187078,35429,1704,3904,1354,2366,537,471,67,54,0
1418874,1224965,155250,108897,138271,227890,125744,46909,67,54,51
43320,8917,2108,4906,5823,2550,544,409,67,51,0
469426,53361,18197,19193,19797,9425,1676,836,66,47,0
307526,7357,1213,5758,4081,2103,1258,318,66,51,0
3199745,68695,65427,19031,14653,11963,3288,2818,91,54,0
